Month,Year,EV_sales,Total_car_sales
Dec,2010,19,1144840
Jan,2011,103,819938
Feb,2011,83,993535
Mar,2011,298,1246668
Apr,2011,573,1157928
May,2011,1150,1061841
Jun,2011,1708,1053414
Jul,2011,932,1059730
Aug,2011,1363,1072379
Sep,2011,1031,1053761
Oct,2011,866,1021185
Nov,2011,773,994786
Dec,2011,1212,1243784
Jan,2012,824,913284
Feb,2012,639,1149432
Mar,2012,961,1404623
Apr,2012,479,1184567
May,2012,612,1334642
Jun,2012,863,1285499
Jul,2012,479,1153759
Aug,2012,866,1285292
Sep,2012,1306,1188899
Oct,2012,2240,1092294
Nov,2012,2614,1143916
Dec,2012,2704,1356070
Jan,2013,2372,1043238
Feb,2013,2666,1192299
Mar,2013,4553,1453038
Apr,2013,4403,1285446
May,2013,4545,1443311
Jun,2013,4573,1403121
Jul,2013,3943,1313844
Aug,2013,4956,1501294
Sep,2013,3650,1137206
Oct,2013,3733,1206182
Nov,2013,3930,1243852
Dec,2013,4770,1358734
Jan,2014,2971,1011187
Feb,2014,3324,1192467
Mar,2014,4578,1537270
Apr,2014,4187,1391303
May,2014,5802,1609678
Jun,2014,4982,1421963
Jul,2014,5693,1435805
Aug,2014,6483,1586374
Sep,2014,5983,1245786
Oct,2014,5927,1281132
Nov,2014,6176,1302655
Dec,2014,7419,1507928
Jan,2015,3977,1152480
Feb,2015,4435,1258570
Mar,2015,5715,1545710
Apr,2015,6037,1455242
May,2015,7057,1634952
Jun,2015,6975,1476472
Jul,2015,5143,1510941
Aug,2015,5224,1577179
Sep,2015,6704,1442113
Oct,2015,5740,1455153
Nov,2015,6103,1318210
Dec,2015,7954,1641913
Jan,2016,3576,1148087
Feb,2016,4424,1343922
Mar,2016,7115,1595065
Apr,2016,6266,1506431
May,2016,6526,1535670
Jun,2016,7678,1512996
Jul,2016,7762,1521245
Aug,2016,8601,1511405
Sep,2016,10032,1434483
Oct,2016,5408,1370721
Nov,2016,6266,1378635
Dec,2016,13077,1688368
Jan,2017,5398,1142568
Feb,2017,5846,1333128
Mar,2017,10171,1554998
Apr,2017,5961,1426883
May,2017,8038,1519793
Jun,2017,8814,1474970
Jul,2017,7802,1416743
Aug,2017,8850,1484826
Sep,2017,13421,1525522
Oct,2017,6792,1356789
Nov,2017,8435,1399640
Dec,2017,14959,1605527
Jan,2018,9154,1151011
Feb,2018,6653,1293763
Mar,2018,11060,1647090
Apr,2018,12794,1353546
May,2018,12232,1586493
Jun,2018,12997,1543716
Jul,2018,15387,1362964
Aug,2018,20222,1482215
Sep,2018,24163,1432136
Oct,2018,29937,1360281
Nov,2018,24089,1382553
Dec,2018,28374,1617778
Jan,2019,26942,1133157
Feb,2019,10644,1251513
Mar,2019,17281,1598811
Apr,2019,20113,1326555
May,2019,18012,1581479
Jun,2019,23421,1509674
Jul,2019,23559,1396460
Aug,2019,18864,1638722
Sep,2019,21812,1267150
Oct,2019,23072,1333995
Nov,2019,11421,1403153
Dec,2019,18681,1512243
Jan,2020,26391,1136560
Feb,2020,11151,1350570
Mar,2020,18234,989954
Apr,2020,8058,715322
May,2020,8626,1119089
Jun,2020,16809,1101169
Jul,2020,23075,1236643
Aug,2020,17291,1318070
Sep,2020,28101,1341099
Oct,2020,29959,1358922
Nov,2020,22225,1199137
Dec,2020,28620,1605497
Jan,2021,25103,1106286
Feb,2021,26215,1193776
Mar,2021,40755,1597152
Apr,2021,33547,1518415
May,2021,29796,1570313
Jun,2021,45913,1302213
Jul,2021,42013,1280803
Aug,2021,35499,1092661
Sep,2021,42020,1015935
Oct,2021,42485,1051015
Nov,2021,46687,1014411
Dec,2021,49441,1203993
Jan,2022,42780,991573
Feb,2022,46859,1045624
Mar,2022,64160,1257821
Apr,2022,52537,1236432
May,2022,52502,1108063
Jun,2022,74262,1143820
Jul,2022,64310,1126523
Aug,2022,60126,1134257
Sep,2022,70056,1124206
Oct,2022,69705,1176991
Nov,2022,69924,1135484
Dec,2022,79262,1268897
Jan,2023,78382,1052475
Feb,2023,80759,1138635
Mar,2023,89648,1375194
Apr,2023,92631,1361694
May,2023,92897,1362535
Jun,2023,101532,1368965
Jul,2023,97320,1299199
