Year,Model,Config,MPGe_combined,MPGe_city,MPGe_highway,price_low,price_high,range_in_miles
2011,2011 BMW Active E,"Automatic (A1), Electricity",102,107,96,,,94
2011,2011 Nissan Leaf,"Automatic (A1), Electricity",99,106,92,32780.0,32780.0,73
2011,2011 smart fortwo electric drive cabriolet,"Automatic (A1), Electricity",87,94,79,,,63
2011,2011 smart fortwo electric drive coupe,"Automatic (A1), Electricity",87,94,79,,,63
2012,2012 Mitsubishi i-MiEV,"Automatic (A1), Electricity",112,126,99,29125.0,31125.0,62
2012,2012 Ford Focus Electric,"Automatic (variable gear ratios), Electricity",105,110,99,39200.0,39200.0,76
2012,2012 Nissan Leaf,"Automatic (A1), Electricity",99,106,92,35200.0,37250.0,73
2012,2012 Tesla Model S,"Automatic (A1), Electricity",89,88,90,59900.0,105400.0,265
2012,2012 Toyota RAV4 EV,"Automatic (variable gear ratios), Electricity",76,78,74,49800.0,49800.0,103
2012,2012 CODA Automotive CODA,"Automatic (A1), Electricity",73,77,68,,,88
2012,2012 Azure Dynamics Transit Connect Electric Van,"Automatic (A1), Electricity",62,62,62,,,56
2012,2012 Azure Dynamics Transit Connect Electric Wagon,"Automatic (A1), Electricity",62,62,62,,,56
2012,2012 BYD e6,"Automatic (A1), Electricity",62,60,64,,,122
2013,2013 Scion iQ EV,"Automatic (variable gear ratios), Electricity",121,138,105,,,38
2013,2013 Honda Fit EV,"Automatic (A1), Electricity",118,132,105,36625.0,36625.0,82
2013,2013 Fiat 500e,"Automatic (A1), Electricity",116,122,108,31800.0,31800.0,87
2013,2013 Nissan Leaf,"Automatic (A1), Electricity",115,129,102,28800.0,34840.0,75
2013,2013 Mitsubishi i-MiEV,"Automatic (A1), Electricity",112,126,99,,,62
2013,2013 smart fortwo electric drive convertible,"Automatic (A1), Electricity",107,122,93,28000.0,28000.0,68
2013,2013 smart fortwo electric drive coupe,"Automatic (A1), Electricity",107,122,93,25000.0,25000.0,68
2013,2013 Ford Focus Electric,"Automatic (A1), Electricity",105,110,99,39200.0,39200.0,76
2013,2013 Tesla Model S (60 kW-hr battery pack),"Automatic (A1), Electricity",95,94,97,69900.0,69900.0,208
2013,2013 Tesla Model S (40 kW-hr battery pack),"Automatic (A1), Electricity",94,93,96,,,139
2013,2013 Tesla Model S (85 kW-hr battery pack),"Automatic (A1), Electricity",89,88,90,94900.0,94900.0,265
2013,2013 Toyota RAV4 EV,"Automatic (variable gear ratios), Electricity",76,78,74,49800.0,49800.0,103
2013,2013 CODA Automotive CODA,"Automatic (A1), Electricity",73,77,68,37250.0,37250.0,88
2013,2013 BYD e6,"Automatic (A1), Electricity",63,61,65,,,127
2014,2014 BMW i3 BEV,"Automatic (A1), Electricity",124,137,111,41350.0,41350.0,81
2014,2014 Chevrolet Spark EV,"Automatic (A1), Electricity",119,128,109,26685.0,27010.0,82
2014,2014 Honda Fit EV,"Automatic (A1), Electricity",118,132,105,36625.0,36625.0,82
2014,2014 Fiat 500e,"Automatic (A1), Electricity",116,122,108,31800.0,31800.0,87
2014,2014 Nissan Leaf,"Automatic (A1), Electricity",114,126,101,28980.0,35020.0,84
2014,2014 Mitsubishi i-MiEV,"Automatic (A1), Electricity",112,126,99,22995.0,22995.0,62
2014,2014 smart fortwo electric drive convertible,"Automatic (A1), Electricity",107,122,93,28000.0,28000.0,68
2014,2014 smart fortwo electric drive coupe,"Automatic (A1), Electricity",107,122,93,25000.0,25000.0,68
2014,2014 Ford Focus Electric,"Automatic (A1), Electricity",105,110,99,29170.0,29170.0,76
2014,2014 Tesla Model S (60 kW-hr battery pack),"Automatic (A1), Electricity",95,94,97,69900.0,69900.0,208
2014,2014 Tesla Model S (85 kW-hr battery pack),"Automatic (A1), Electricity",89,88,90,79900.0,104500.0,265
2014,2014 Tesla Model S AWD (85 kW-hr battery pack),"Automatic (A1), Electricity",89,86,94,79900.0,79900.0,242
2014,2014 Mercedes-Benz B-Class Electric Drive,"Automatic (A1), Electricity",84,85,83,41450.0,41450.0,87
2014,2014 Toyota RAV4 EV,"Automatic (variable gear ratios), Electricity",76,78,74,49800.0,49800.0,103
2014,2014 BYD e6,"Automatic (A1), Electricity",63,61,65,,,127
2015,2015 BMW i3 BEV,"Automatic (A1), Electricity",124,137,111,42400.0,42400.0,81
2015,2015 Chevrolet Spark EV,"Automatic (A1), Electricity",119,128,109,25170.0,25560.0,82
2015,2015 Volkswagen e-Golf,"Automatic (A1), Electricity",116,126,105,33450.0,35445.0,83
2015,2015 Fiat 500e,"Automatic (A1), Electricity",116,122,108,31800.0,31800.0,87
2015,2015 Nissan Leaf,"Automatic (A1), Electricity",114,126,101,29010.0,35120.0,84
2015,2015 smart fortwo electric drive convertible,"Automatic (A1), Electricity",107,122,93,28000.0,28000.0,68
2015,2015 smart fortwo electric drive coupe,"Automatic (A1), Electricity",107,122,93,25000.0,25000.0,68
2015,2015 Kia Soul Electric,"Automatic (A1), Electricity",105,120,92,33700.0,35700.0,93
2015,2015 Ford Focus Electric,"Automatic (A1), Electricity",105,110,99,29170.0,29170.0,76
2015,2015 Tesla Model S AWD - 70D,"Automatic (A1), Electricity",101,101,102,75000.0,75000.0,240
2015,2015 Tesla Model S AWD - 85D,"Automatic (A1), Electricity",100,95,106,85000.0,85000.0,270
2015,2015 Tesla Model S AWD - 90D,"Automatic (A1), Electricity",100,95,106,,,270
2015,2015 Tesla Model S (60 kW-hr battery pack),"Automatic (A1), Electricity",95,94,97,69900.0,69900.0,208
2015,2015 Tesla Model S AWD - P85D,"Automatic (A1), Electricity",93,89,98,105000.0,105000.0,253
2015,2015 Tesla Model S AWD - P90D,"Automatic (A1), Electricity",93,89,98,,,253
2015,2015 Tesla Model S (85 kW-hr battery pack),"Automatic (A1), Electricity",89,88,90,80000.0,80000.0,265
2015,2015 Tesla Model S (90 kW-hr battery pack),"Automatic (A1), Electricity",89,88,90,,,265
2015,2015 Mercedes-Benz B-Class Electric Drive,"Automatic (A1), Electricity",84,85,82,41450.0,41450.0,87
2016,2016 BMW i3 BEV,"Automatic (A1), Electricity",124,137,111,42400.0,42400.0,81
2016,2016 Chevrolet Spark EV,"Automatic (A1), Electricity",119,128,109,25120.0,25510.0,82
2016,2016 Volkswagen e-Golf,"Automatic (A1), Electricity",116,126,105,28995.0,35595.0,83
2016,2016 Nissan Leaf (24 kW-hr battery pack),"Automatic (A1), Electricity",114,126,101,29010.0,36790.0,84
